Data,SMA_30,BB_UPPER,BB_LOWER,MOM,Fast_Stoch,Slow_Stoch,CMF,OBV,ADI,DPO,EMA_12,EMA_26,MACD_K,MACD_D,RSI,ATR,ADX,CCI,ROC,Williams_%R,Saida
2013-10-09,0.24721048849880295,0.23760978354398693,0.2573388891681101,0.2686466992929342,0.10734463276836233,0.0940383264834029,0.4016518583585147,0.12487561380303032,0.7862299870157189,0.42226202804444546,0.2406884463358957,0.24046336691220166,0.5205606578655803,0.5086077418503104,0.18623642493024106,0.0840182934363791,0.36489192645126795,0.26535290878760576,0.26907684311444535,0.10734463276836248,1
2013-10-10,0.24702683021919775,0.2379687281081792,0.2565864335933706,0.29355733285227814,0.17796610169491597,0.0993622591716303,0.42019417591386427,0.12707274087403161,0.7875700288645879,0.4488510733577765,0.2395801146790938,0.23927140916003165,0.5236339507476682,0.5120338579191029,0.23369770050488098,0.07954179328387898,0.4075108825372625,0.2929736462099921,0.29515186330512394,0.1779661016949161,1
2013-10-11,0.24684317193959254,0.23821702670027256,0.2559518599575593,0.2964887897590826,0.2683615819209048,0.1801838463743394,0.4421161733123707,0.12842024176195818,0.788447077112747,0.47073805592096,0.23874303861361046,0.23839615440857237,0.5250840049804312,0.5150862169702799,0.29181732573239255,0.07558423859770128,0.43176247806515017,0.3359225654565303,0.2963977795428459,0.26836158192090487,1
2013-10-14,0.2467529538373303,0.23813261875048408,0.255860015440173,0.36177248595928263,0.7659574468085117,0.400898931908957,0.5297423548709101,0.13135620289797867,0.7915999414487345,0.4266562176383327,0.23893999247847258,0.23870636908989612,0.5211066503014412,0.5166737833833613,0.5058589058729559,0.09880075287212209,0.4006183399418854,0.4400154482342408,0.34109131648707425,0.7659574468085119,1
2013-10-15,0.24668206818555283,0.2380363377794943,0.2558197716667737,0.3614922709540294,0.8121387283236997,0.6134235936619734,0.4865692753366919,0.1370694650984133,0.7912908276857639,0.38987936969968356,0.23930526337271946,0.23920060131789334,0.5165579374523837,0.5169667900996779,0.5360585792872486,0.10482169917485062,0.37447678866505946,0.5408255519932291,0.37933076826349993,0.8121387283236999,0
2013-10-16,0.24650163198102842,0.23779307980837056,0.2557153930268153,0.34801742523096124,0.7572254335260106,0.7772522112072523,0.44214282414203326,0.13494216045589966,0.7904674417009804,0.39293011279352874,0.23952836664845834,0.23952260541235593,0.5130776067996645,0.5164536335366121,0.5115760471915463,0.09607050509358611,0.3502024910508639,0.5341418816308212,0.3975107058884271,0.7572254335260107,0
2013-10-17,0.24615364787230276,0.2374572487813691,0.2553720639239837,0.3573459460105399,0.6040462427745652,0.7229923418491883,0.21952167119977917,0.1255355077341236,0.7764122026732906,0.3998432645749948,0.2394062396917751,0.23944245356430394,0.5116312590821733,0.5157324382355583,0.4468495708468794,0.10009531908505431,0.3375767965884291,0.5343629160637215,0.3789582212136081,0.6040462427745653,0
2013-10-18,0.24583466243930413,0.23716479146283143,0.25504095146764266,0.3789833839306332,0.598265895953757,0.651319031698279,0.18424781196674633,0.11795329587356045,0.7717021254110358,0.3759970891992499,0.23927950749839144,0.23935396327556396,0.5103157417902083,0.514872913827518,0.44446456898865805,0.09745839178909482,0.3146401281209273,0.4977071548709728,0.3764886206910483,0.5982658959537572,1
2013-10-21,0.2453287966516196,0.2360331737940392,0.25522734950704484,0.3946900316424424,0.7398843930635842,0.6455076822265841,0.20166132351114496,0.11998078563548696,0.7730100454748413,0.397352290856167,0.23946681925785346,0.23962178038116078,0.5074819403583642,0.5135766044102815,0.5047536462225822,0.09082671187882224,0.2933417931153899,0.5342309685364957,0.4106911432525765,0.7398843930635843,1
2013-10-22,0.244697269935784,0.23375500708792096,0.2563820948200813,0.4093709576723876,0.8872832369942194,0.740426390264275,0.248956185536893,0.12243404824741805,0.7739576771584039,0.37932771698060397,0.23996039846517364,0.2402337873553908,0.5032823297460781,0.5116374963099729,0.5608867705443689,0.09462849616219876,0.2909828441732782,0.595166536310989,0.41582002045627026,0.8872832369942195,0
2013-10-23,0.24402385624389822,0.23206353800016255,0.25682737958322555,0.39797438174012134,0.6445086705202301,0.7559233221887954,0.22213527135750993,0.12019001298133311,0.7728351428493911,0.3544179797923251,0.23989778925442995,0.2402008846657342,0.5022553442828896,0.509865617214301,0.4555776908153476,0.09716274714818535,0.27934751768732174,0.5245232436601958,0.39717534269915566,0.6445086705202302,0
2013-10-24,0.2434116619785474,0.230505149408389,0.2572542263702706,0.38639895434030264,0.6445086705202301,0.7239609000944706,0.2118176620385549,0.12231905718606854,0.7727973552980483,0.3341263399479411,0.23983921934760516,0.2401704192123485,0.5012836499362283,0.5082393976462415,0.4555776908153476,0.09114977107855254,0.26550390039922506,0.5184468369526883,0.41488765377598746,0.6445086705202302,1
2013-10-25,0.24292190656626678,0.2293314314153032,0.2575179373697475,0.39695424268584095,0.6502890173410402,0.644539123981301,0.3976058654877813,0.13154101638781582,0.7823978493719155,0.3483724705421363,0.2397969125396427,0.24015648607383128,0.5003002606654673,0.5067271936745549,0.4581267901693358,0.08457031602245935,0.2455956154461928,0.500066855630264,0.4311491567614866,0.6502890173410404,1
2013-10-28,0.2425739224575411,0.2284316852801937,0.2577754019973487,0.42107056956706457,0.7196531791907518,0.669721638358648,0.4469057135632958,0.1354897026614282,0.7840245277355359,0.36390607069887193,0.23990714794551504,0.24031489239506104,0.4986048981155395,0.5051532729970389,0.4894207187043559,0.07826162658637154,0.23733614530960523,0.5456431495598075,0.43028074489895135,0.7196531791907519,0
